cluster,KO,Description
NVE6553,K09492,MKKS; McKusick-Kaufman syndrome protein
NVE2467,,
NVE8241,K10408,"DNAH; dynein heavy chain, axonemal"
NVE19907,,
NVE18944,K08592,SENP1; sentrin-specific protease 1 [EC:3.4.22.68]
NVE15767,K09593,GAB1; GRB2-associated-binding protein 1
NVE16566,,
NVE9631,K12736,PPWD1; peptidylprolyl isomerase domain and WD repeat-containing protein 1 [EC:5.2.1.8]
NVE1741,K10751,CHAF1B; chromatin assembly factor 1 subunit B
NVE17661,,
NVE5829,,
NVE9911,K14391,"SLC5A11; solute carrier family 5 (sodium/myo-inositol cotransporter), member 11"
NVE17350,K13165,"SFRS12; splicing factor, arginine/serine-rich 12"
NVE16633,K15377,"SLC44A2_4_5; solute carrier family 44 (choline transporter-like protein), member 2/4/5"
NVE24904,,
NVE16064,,
NVE12501,K01897,ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
NVE15665,,
NVE15750,K16848,IQGAP1; Ras GTPase-activating-like protein IQGAP1
NVE13547,,
NVE2768,,
NVE23437,,
NVE11313,,
NVE2501,K05857,"PLCD; phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]"
NVE24515,,
NVE8740,K06068,PRKCD; novel protein kinase C delta type [EC:2.7.11.13]
NVE17312,K15214,TAF1C; TATA box-binding protein-associated factor RNA polymerase I subunit C
NVE21022,,
NVE7969,K03869,CUL3; cullin 3
NVE17197,K01868,TARS; threonyl-tRNA synthetase [EC:6.1.1.3]
NVE19092,,
NVE3906,,
NVE19100,K10415,"DYNC1I; dynein intermediate chain, cytosolic"
NVE20102,,
NVE22319,K18026,PTPN2; tyrosine-protein phosphatase non-receptor type 2 [EC:3.1.3.48]
NVE19868,K01415,ECE; endothelin-converting enzyme [EC:3.4.24.71]
NVE14777,K15293,UNC13A_B_C; protein unc-13 A/B/C
NVE15330,K10408,"DNAH; dynein heavy chain, axonemal"
NVE1532,,
NVE25411,K11660,MTA; metastasis-associated protein MTA
NVE19129,,
NVE13714,,
NVE541,K19882,NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]
NVE12378,K12035,TRIM71; tripartite motif-containing protein 71 [EC:2.3.2.27]
NVE6012,K18669,DYRK2_3_4; dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1]
NVE22720,,
NVE19188,,
NVE21993,K09608,TLL1; tolloid-like protein 1 [EC:3.4.24.-]
NVE2497,,
NVE11913,,
NVE10497,,
NVE7136,,
NVE21711,K18464,RTSC; WASH complex subunit strumpellin
NVE15120,,
NVE11423,,
NVE6320,,
NVE23499,,
NVE20935,,
NVE1747,K11547,NDC80; kinetochore protein NDC80
NVE974,K01895,ACSS; acetyl-CoA synthetase [EC:6.2.1.1]
NVE1857,K17495,CSMD; CUB and sushi domain-containing protein
NVE7205,K15376,GPHN; gephyrin [EC:2.10.1.1 2.7.7.75]
NVE5778,K12035,TRIM71; tripartite motif-containing protein 71 [EC:2.3.2.27]
NVE14331,,
NVE10482,K04255,OPN4; r-opsin
NVE18985,,
NVE25437,K17550,PPP1R7; protein phosphatase 1 regulatory subunit 7
NVE13656,,
NVE5528,,
NVE11247,K08268,HIF1A; hypoxia-inducible factor 1 alpha
NVE12557,K13095,SF1; splicing factor 1
NVE20292,,
NVE7634,,
NVE21843,K00297,metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
NVE15085,,
NVE1726,K14354,"SLCO4A; solute carrier organic anion transporter family, member 4A"
NVE11270,K02184,FMN2; formin 2
NVE14749,K05648,"ABCA5; ATP-binding cassette, subfamily A (ABC1), member 5"
NVE12679,,
NVE23315,,
NVE385,K05643,"ABCA3; ATP-binding cassette, subfamily A (ABC1), member 3"
NVE4829,K09404,FOXK; forkhead box protein K
NVE25731,,
NVE4134,K17277,EPS8; epidermal growth factor receptor kinase substrate 8
NVE16852,K20182,VPS33; vacuolar protein sorting-associated protein 33
NVE15133,,
NVE13484,K13024,PPIP5K; inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]
NVE18865,,
NVE3852,K14947,ESRP1_2; epithelial splicing regulatory protein 1/2
NVE764,,
NVE21014,,
NVE22192,K05289,GAA1; glycosylphosphatidylinositol transamidase
NVE24391,K10803,XRCC1; DNA-repair protein XRCC1
NVE9431,,
NVE1164,K17886,MDM1; nuclear protein MDM1
NVE16427,K20191,HPS5; Hermansky-Pudlak syndrome 5 protein
NVE11265,,
NVE11209,,
NVE20997,K15213,TAF1B; TATA box-binding protein-associated factor RNA polymerase I subunit B
NVE8103,,
NVE1984,,
NVE3513,K01262,pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]
NVE15841,K11847,USP19; ubiquitin carboxyl-terminal hydrolase 19 [EC:3.4.19.12]
NVE19338,,
NVE17692,,
NVE12354,,
NVE21575,K01322,PREP; prolyl oligopeptidase [EC:3.4.21.26]
NVE1360,K13297,PTPRT; receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]
NVE8295,K05048,"SLC6A15S; solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20"
NVE15870,K11113,TERF2IP; telomeric repeat-binding factor 2-interacting protein 1
NVE41,K12825,SF3A1; splicing factor 3A subunit 1
NVE22715,,
NVE15334,K04892,KCND2; potassium voltage-gated channel Shal-related subfamily D member 2
NVE17725,,
NVE26022,K10264,FBXW8; F-box and WD-40 domain protein 8
NVE14353,K00649,GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]
NVE19800,K14716,"SLC39A10; solute carrier family 39 (zinc transporter), member 10"
NVE13523,,
NVE8348,,
NVE7873,K11421,SETDB1; histone-lysine N-methyltransferase SETDB1 [EC:2.1.1.43]
NVE20934,K01689,ENO; enolase [EC:4.2.1.11]
NVE24179,,
NVE9518,K12838,PUF60; poly(U)-binding-splicing factor PUF60
NVE16644,K20827,RPAP2; RNA polymerase II subunit B1 CTD phosphatase RPAP2 [EC:3.1.3.16]
NVE4516,,
NVE19409,,
NVE18760,K10423,CLIP3_4; CAP-Gly domain-containing linker protein 3/4
NVE13939,K16487,SAS-6; spindle assembly abnormal protein 6
NVE18685,,
NVE16809,K09228,KRAB; KRAB domain-containing zinc finger protein
NVE1149,K04809,CHRNA7; nicotinic acetylcholine receptor alpha-7
NVE15638,K02599,NOTCH1; Notch 1
NVE8078,,
NVE14576,K14304,NUP85; nuclear pore complex protein Nup85
NVE5931,K13024,PPIP5K; inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]
NVE17656,,
NVE7999,K05048,"SLC6A15S; solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20"
NVE6792,K13708,DOCK1; dedicator of cytokinesis protein 1
NVE4721,,
NVE3221,,
NVE22288,K02516,PRMT5; type II protein arginine methyltransferase [EC:2.1.1.320]
NVE23527,K13619,DDHD1; phospholipase DDHD1 [EC:3.1.1.-]
NVE15959,K05034,"SLC6A1; solute carrier family 6 (neurotransmitter transporter, GABA) member 1"
NVE4441,,
NVE13418,K19944,TBC1D10; TBC1 domain family member 10
NVE8813,K17257,ITFG1; integrin alpha FG-GAP repeat containing protein 1
NVE15575,,
NVE14714,,
NVE54,,
NVE2855,K10776,LIG3; DNA ligase 3 [EC:6.5.1.1]
NVE8132,K06174,"ABCE1; ATP-binding cassette, sub-family E, member 1"
NVE25476,K11143,"DNAI2; dynein intermediate chain 2, axonemal"
NVE21828,,
NVE5238,,
NVE19119,,
NVE8137,,
NVE21275,K20635,ARHGAP11; Rho GTPase-activating protein 11
NVE12039,K13126,PABPC; polyadenylate-binding protein
NVE13904,K15255,PIF1; ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]
NVE23440,,
NVE22555,,
NVE1906,K07870,RHOT1; mitochondrial Rho GTPase 1 [EC:3.6.5.-]
NVE5355,,
NVE11022,K17916,KIF16B; kinesin family member 16B
NVE1955,,
NVE15797,K18081,MTMR1_2; myotubularin-related protein 1/2 [EC:3.1.3.64 3.1.3.95]
NVE10826,K20027,ZDHHC1_11; palmitoyltransferase ZDHHC1/11 [EC:2.3.1.225]
NVE13994,K03544,clpX; ATP-dependent Clp protease ATP-binding subunit ClpX
NVE9910,,
NVE22475,,
NVE22066,K03320,"amt; ammonium transporter, Amt family"
NVE5907,K09228,KRAB; KRAB domain-containing zinc finger protein
NVE8117,,
NVE25274,K16586,HAUS3; HAUS augmin-like complex subunit 3
NVE6705,K01131,STS; steryl-sulfatase [EC:3.1.6.2]
NVE4307,,
NVE11539,K01254,LTA4H; leukotriene-A4 hydrolase [EC:3.3.2.6]
NVE20480,K04994,MCOLN3; mucolipin 3
NVE22509,K13278,ASPG; 60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]
NVE9700,,
NVE14190,K06069,PRKCI; atypical protein kinase C iota type [EC:2.7.11.13]
NVE11080,,
NVE21228,K21396,"WHT; ATP-binding cassette, subfamily G (WHITE), eye pigment precursor transporter"
NVE6795,K10640,RNF25; E3 ubiquitin-protein ligase RNF25 [EC:2.3.2.27]
NVE4781,,
NVE19081,,
NVE8187,K03695,clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
NVE15365,,
NVE10123,,
NVE19425,,
NVE1971,K11294,NCL; nucleolin
NVE6386,K07377,NRXN; neurexin
NVE10882,,
NVE16418,K10884,XRCC6; ATP-dependent DNA helicase 2 subunit 1
NVE24795,K00294,E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
NVE16946,K00666,fatty-acyl-CoA synthase [EC:6.2.1.-]
NVE6922,,
NVE20119,,
NVE11337,K00710,GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
NVE9001,,
NVE21220,K05544,DUS3; tRNA-dihydrouridine synthase 3 [EC:1.3.1.89]
NVE15835,K12666,OST1; oligosaccharyltransferase complex subunit alpha (ribophorin I)
NVE21654,,
NVE15979,,
NVE21300,,
NVE1466,,
NVE10745,,
NVE6932,,
NVE4231,K00710,GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
NVE25959,,
NVE23729,K10369,SVIL; supervillin
NVE40,K18398,ENPP5; ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]
NVE1317,,
NVE1851,,
NVE24782,,
NVE23053,K14809,DDX55; ATP-dependent RNA helicase DDX55/SPB4 [EC:3.6.4.13]
NVE8355,K01464,DPYS; dihydropyrimidinase [EC:3.5.2.2]
NVE18203,K13147,INTS10; integrator complex subunit 10
NVE525,,
NVE5119,,
NVE16140,,
NVE12687,,
NVE16264,,
NVE1117,K10457,KLHL20; kelch-like protein 20
NVE23799,K19382,TCTN1_3; tectonic-1/3
NVE4435,K18402,PHF20; PHD finger protein 20
NVE9053,,
NVE1314,,
NVE11250,K00744,"MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]"
NVE11421,K10457,KLHL20; kelch-like protein 20
NVE5994,K00472,P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
NVE5939,,
NVE12203,,
NVE20762,K10454,KLHL17; kelch-like protein 17 (actinfilin)
NVE23985,,
NVE7210,,
NVE3089,,
NVE9679,K14640,SLC20A; solute carrier family 20 (sodium-dependent phosphate transporter)
NVE9168,,
NVE23191,,
NVE14785,,
NVE25404,,
NVE16350,,
NVE20044,K17951,CYP27C; cytochrome P450 family 27 subfamily C
NVE14760,K15013,ACSBG; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]
NVE4380,,
NVE1165,K07378,NLGN; neuroligin
NVE2294,K10450,KLHL12; kelch-like protein 12
NVE2131,,
NVE25268,K04715,E2.7.1.138; ceramide kinase [EC:2.7.1.138]
NVE7798,,
NVE10717,,
NVE1214,,
NVE3623,K12261,HACL1; 2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-]
NVE1200,,
NVE19735,K01301,NAALAD; N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
NVE13512,,
NVE1130,,
NVE9704,,
NVE2700,K10457,
NVE21269,K01876,DARS; aspartyl-tRNA synthetase [EC:6.1.1.12]
NVE4862,,
NVE25385,,
NVE20610,K02604,ORC2; origin recognition complex subunit 2
NVE4614,K01125,NAGPA; N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [EC:3.1.4.45]
NVE11373,,
NVE14486,K08526,RXRG; retinoid X receptor gamma
NVE9105,K13912,DMBT1; deleted in malignant brain tumors 1 protein
NVE21548,,
NVE21731,,
NVE5715,,
NVE13515,K09506,DNAJA5; DnaJ homolog subfamily A member 5
NVE20403,K10450,KLHL12; kelch-like protein 12
NVE23188,K19904,
NVE7713,K10408,"DNAH; dynein heavy chain, axonemal"
NVE23354,K19199,SETD3; histone-lysine N-methyltransferase SETD3 [EC:2.1.1.43]
NVE12553,,
NVE13128,,
NVE1666,K13179,DDX18; ATP-dependent RNA helicase DDX18/HAS1 [EC:3.6.4.13]
NVE22702,K05011,CLCN2; chloride channel 2
NVE22316,K01596,E4.1.1.32; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
NVE11101,,
NVE14968,K18756,BICC1; protein bicaudal C
NVE15691,K16467,CNTLN; centlein
NVE23134,K04887,KCNC1; potassium voltage-gated channel Shaw-related subfamily C member 1
NVE20453,,
NVE12169,,
NVE13606,K17768,TOM70; mitochondrial import receptor subunit TOM70
NVE24473,K08764,SCP2; sterol carrier protein 2 [EC:2.3.1.176]
NVE12723,,
NVE21564,K19525,VPS13A_C; vacuolar protein sorting-associated protein 13A/C
NVE20320,K21595,CARF; calcium-responsive transcription factor
NVE1487,K00666,fatty-acyl-CoA synthase [EC:6.2.1.-]
NVE22452,,
NVE25689,K18082,MTMR3_4; myotubularin-related protein 3/4 [EC:3.1.3.48 3.1.3.64 3.1.3.95]
NVE18659,,
NVE7474,,
NVE20942,K14611,"SLC23A1_2; solute carrier family 23 (nucleobase transporter), member 1/2"
NVE6487,,
NVE13562,,
NVE371,,
NVE1476,K03174,TRAF3; TNF receptor-associated factor 3
NVE21128,K20795,PRDM6; histone-lysine N-methyltransferase PRDM6 [EC:2.1.1.43]
NVE15456,,
NVE13023,,
NVE10254,,
NVE6057,K10891,FANCD2; fanconi anemia group D2 protein
NVE25782,K06645,
NVE18273,K16190,GLCAK; glucuronokinase [EC:2.7.1.43]
NVE3425,,
NVE25646,K01195,uidA; beta-glucuronidase [EC:3.2.1.31]
NVE116,,
NVE15174,,
NVE9857,K02133,ATPeF1B; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
NVE21251,K05125,DDR2; discoidin domain receptor family member 2 [EC:2.7.10.1]
NVE17571,K01953,asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
NVE17646,K05747,WAS; Wiskott-Aldrich syndrome protein
NVE16181,K00820,glmS; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]
NVE22266,K05970,SIAE; sialate O-acetylesterase [EC:3.1.1.53]
NVE2332,,
NVE24392,K05126,RET; proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]
NVE15128,,
NVE4054,,
NVE6316,K07198,"PRKAA; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]"
NVE8546,K15166,MED23; mediator of RNA polymerase II transcription subunit 23
NVE9843,K00387,SUOX; sulfite oxidase [EC:1.8.3.1]
NVE22361,K22382,WDR26; WD repeat-containing protein 26
NVE25634,,
NVE26126,,
NVE18702,K01427,URE; urease [EC:3.5.1.5]
NVE8217,K08726,EPHX2; soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]
NVE12632,,
NVE25382,K05637,"LAMA1_2; laminin, alpha 1/2"
NVE22546,,
NVE6017,,
NVE7577,K13159,HNRNPL; heterogeneous nuclear ribonucleoprotein L
NVE20999,K12819,SLU7; pre-mRNA-processing factor SLU7
NVE13507,,
NVE12253,,
NVE25016,K09553,STIP1; stress-induced-phosphoprotein 1
NVE14553,,
NVE12124,,
NVE13009,K09497,CCT5; T-complex protein 1 subunit epsilon
NVE1519,K09657,"B4GALNT4; beta-1,4-N-acetylgalactosaminyltransferase 4 [EC:2.4.1.244]"
NVE11277,,
NVE1679,K10277,KDM8; lysine-specific demethylase 8 [EC:1.14.11.27]
NVE2349,,
NVE25190,,
NVE12584,,
NVE18366,K10443,KLHL2_3; kelch-like protein 2/3
NVE13422,K10268,FBXL2_20; F-box and leucine-rich repeat protein 2/20
NVE17689,K19680,TRAF3IP1; TRAF3-interacting protein 1
NVE23047,K01148,PARN; poly(A)-specific ribonuclease [EC:3.1.13.4]
NVE8824,K01904,4CL; 4-coumarate--CoA ligase [EC:6.2.1.12]
NVE22855,K06316,RFT1; oligosaccharide translocation protein RFT1
NVE17005,K00773,tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
NVE24297,K00261,GLUD1_2; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
NVE64,,
NVE7440,,
NVE11171,K08202,"SLC22A4_5; MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5"
NVE21799,K08202,"SLC22A4_5; MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5"
NVE3944,K00699,UGT; glucuronosyltransferase [EC:2.4.1.17]
NVE20180,,
NVE14938,K00699,UGT; glucuronosyltransferase [EC:2.4.1.17]
NVE21774,K00488,CYP27A; cholestanetriol 26-monooxygenase [EC:1.14.15.15]
NVE11280,K22210,E4.2.1.48; D-glutamate cyclase [EC:4.2.1.48]
NVE21986,,
NVE6618,K05208,"GRIN1; glutamate receptor ionotropic, NMDA 1"
NVE9980,K09521,DNAJC1; DnaJ homolog subfamily C member 1
NVE12858,,
NVE24154,,
NVE2008,,
NVE4594,K04699,SOCS6_7; suppressor of cytokine signaling 6/7
NVE5561,K10053,"RUNX1T1; runt-related transcription factor 1; translocated to, 1"
NVE6370,K08606,MEP1B; meprin B [EC:3.4.24.63]
NVE18176,,
NVE6927,,
NVE11523,,
NVE12152,,
NVE6062,K10293,FBXO7; F-box protein 7
NVE22634,,
NVE16647,,
NVE25817,,
NVE15050,,
NVE4300,K16890,CATSPER2; cation channel sperm-associated protein 2
NVE23219,,
NVE600,,
NVE7316,K08469,GPR158; G protein-coupled receptor 158
NVE25651,K08228,"SLC43A1; MFS transporter, LAT3 family, solute carrier family 43, member 1"
NVE4566,K05208,"GRIN1; glutamate receptor ionotropic, NMDA 1"
NVE23312,K05760,PXN; paxillin
NVE3077,,
NVE7253,,
NVE131,K16609,TTLL12; tubulin--tyrosine ligase-like protein 12
NVE8169,,
NVE3930,K08202,"SLC22A4_5; MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5"
NVE17619,,
NVE20532,,
NVE3653,K09275,TFCP2; transcription factor CP2 and related proteins
NVE13017,,
NVE17758,,
NVE23955,,
NVE24711,,
NVE6396,,
NVE610,K19583,GK5; putative glycerol kinase 5 [EC:2.7.1.30]
NVE2678,K15029,EIF3L; translation initiation factor 3 subunit L
NVE1702,K04615,GABBR; gamma-aminobutyric acid type B receptor
NVE1242,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE3722,K09228,KRAB; KRAB domain-containing zinc finger protein
NVE22434,,
NVE2228,K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
NVE11211,,
NVE4024,,
NVE16564,,
NVE4586,,
NVE6468,K00654,SPT; serine palmitoyltransferase [EC:2.3.1.50]
NVE22567,K11584,PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'
NVE15952,K00274,MAO; monoamine oxidase [EC:1.4.3.4]
NVE8572,,
NVE18837,,
NVE18574,,
NVE15109,,
NVE10481,,
NVE23018,,
NVE13735,K17391,IGF2BP1; insulin-like growth factor 2 mRNA-binding protein 1
NVE23288,K07763,MMP14; matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80]
NVE545,K08892,FRK; fyn-related kinase [EC:2.7.10.2]
NVE13182,,
NVE4292,K03023,RPC3; DNA-directed RNA polymerase III subunit RPC3
NVE19497,K00666,fatty-acyl-CoA synthase [EC:6.2.1.-]
NVE826,K00699,UGT; glucuronosyltransferase [EC:2.4.1.17]
NVE6472,K01641,E2.3.3.10; hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
NVE26033,,
NVE20943,,
NVE18111,,
NVE22899,,
NVE25303,,
NVE3222,,
NVE20234,,
NVE23899,,
NVE8233,K00088,IMPDH; IMP dehydrogenase [EC:1.1.1.205]
NVE5566,K04135,ADRA1A; adrenergic receptor alpha-1A
NVE7260,K00699,UGT; glucuronosyltransferase [EC:2.4.1.17]
NVE9447,,
NVE4503,,
NVE22759,K13111,SMU1; WD40 repeat-containing protein SMU1
NVE3390,K16719,KANSL3; regulatory NSL complex subunit 3
NVE18263,,
NVE12611,,
NVE6568,K01832,TBXAS1; thromboxane-A synthase [EC:5.3.99.5]
NVE13889,,
NVE15812,K08805,DCLK1_2; doublecortin-like kinase 1/2 [EC:2.7.11.1]
NVE11632,K10080,"LMAN1; lectin, mannose-binding 1"
NVE17058,K01206,FUCA; alpha-L-fucosidase [EC:3.2.1.51]
NVE16923,K19608,EVC2; ellis van creveld syndrome protein 2
NVE10801,,
NVE4038,,
NVE6297,K10252,"BCDO2; beta,beta-carotene 9',10'-dioxygenase [EC:1.13.11.71]"
NVE2905,,
NVE7490,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE25295,K16811,TCHP; trichoplein keratin filament-binding protein
NVE8595,K08193,"SLC17A; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other"
NVE1480,,
NVE22362,K00658,DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
NVE5944,,
NVE13948,,
NVE17671,K15015,SLC32A; solute carrier family 32 (vesicular inhibitory amino acid transporter)
NVE10370,K18735,SMG9; protein SMG9
NVE13053,,
NVE13319,,
NVE17569,K01948,CPS1; carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]
NVE12989,,
NVE14624,,
NVE15783,K00274,MAO; monoamine oxidase [EC:1.4.3.4]
NVE1275,,
NVE15734,K08056,"PDIA3; protein disulfide isomerase family A, member 3 [EC:5.3.4.1]"
NVE15751,,
NVE20501,K18592,GGT1_5; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
NVE17327,,
NVE3894,,
NVE18714,K20131,RABGEF1; Rab5 GDP/GTP exchange factor
NVE2350,K14943,MBNL; muscleblind
NVE18630,K06580,SLC42A; ammonium transporter Rh
NVE20564,,
NVE23685,,
NVE25993,,
NVE4776,,
NVE21544,K13106,BUD13; pre-mRNA-splicing factor CWC26
NVE25299,K04809,CHRNA7; nicotinic acetylcholine receptor alpha-7
NVE14090,K03341,SEPSECS; O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [EC:2.9.1.2]
NVE9649,K13049,PM20D1; carboxypeptidase PM20D1 [EC:3.4.17.-]
NVE9580,,
NVE24072,,
NVE20839,K00512,CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
NVE15951,K13278,ASPG; 60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]
NVE13135,K00139,ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
NVE16568,,
NVE17635,,
NVE3974,K11986,USP3; ubiquitin carboxyl-terminal hydrolase 3 [EC:3.4.19.12]
NVE12703,K14613,"SLC46A1; MFS transporter, PCFT/HCP family, solute carrier family 46 (folate transporter), member 1"
NVE14197,,
NVE18603,,
NVE23048,,
NVE12802,,
NVE22030,K09850,RASSF1; Ras association domain-containing protein 1
NVE12503,,
NVE20003,K00814,GPT; alanine transaminase [EC:2.6.1.2]
NVE6529,K01206,FUCA; alpha-L-fucosidase [EC:3.2.1.51]
NVE5782,,
NVE12749,K09848,TRAF4; TNF receptor-associated factor 4
NVE14970,K12872,RBM22; pre-mRNA-splicing factor RBM22/SLT11
NVE14614,,
NVE11779,K18038,PTPN9; tyrosine-protein phosphatase non-receptor type 9 [EC:3.1.3.48]
NVE25261,K00512,CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase [EC:1.14.14.19 1.14.14.32]
NVE13865,,
NVE21929,,
NVE13912,,
NVE2435,K09048,CREB3; cyclic AMP-responsive element-binding protein 3
NVE22756,K10149,TP63; tumor protein p63
NVE11457,K08367,RUNX1; runt-related transcription factor 1
NVE9830,,
NVE7020,,
NVE7037,K12398,AP3M; AP-3 complex subunit mu
NVE7506,K08187,"SLC16A10; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
NVE14758,K05312,"CHRNN; nicotinic acetylcholine receptor, invertebrate"
NVE10738,,
NVE14542,,
NVE9426,,
NVE23010,,
NVE19602,,
NVE8938,,
NVE15263,,
NVE6605,K07375,TUBB; tubulin beta
NVE3811,,
NVE3625,K15014,"SLC29A1_2_3; solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3"
NVE9440,K08469,GPR158; G protein-coupled receptor 158
NVE22481,K14376,PAP; poly(A) polymerase [EC:2.7.7.19]
NVE1305,,
NVE11737,,
NVE4587,,
NVE9357,K15212,TAF1A; TATA box-binding protein-associated factor RNA polymerase I subunit A
NVE2053,,
NVE10832,,
NVE24215,K13517,MBOAT1_2; lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-]
NVE11363,K01229,LCT; lactase-phlorizin hydrolase [EC:3.2.1.108 3.2.1.62]
NVE594,,
NVE20442,,
NVE4672,,
NVE18494,K01593,DDC; aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]
NVE5607,,
NVE7806,K00033,PGD; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
NVE13843,,
NVE25968,,
NVE25468,,
NVE20709,,
NVE19861,K21403,PXYLP1; 2-phosphoxylose phosphatase [EC:3.1.3.-]
NVE2357,,
NVE10721,,
NVE19974,,
